PRODUCT,DRAW NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4
DGRD,413,10/1/2020,27,39,71,93
DGRD,414,10/5/2020,7,33,73,76
DGRD,415,10/8/2020,5,22,72,80
DGRD,416,10/12/2020,39,42,57,78
DGRD,417,10/15/2020,9,29,68,83
DGRD,418,10/19/2020,44,45,60,81
DGRD,419,10/22/2020,9,21,47,90
DGRD,420,10/26/2020,44,59,72,97
DGRD,421,10/29/2020,40,41,66,96
DGRD,422,11/2/2020,5,10,12,44
DGRD,423,11/5/2020,7,11,47,94
DGRD,424,11/9/2020,37,41,47,68
DGRD,425,11/12/2020,2,11,20,61
DGRD,426,11/16/2020,11,58,77,91
DGRD,427,11/19/2020,14,26,44,93
DGRD,428,11/23/2020,25,49,61,66
DGRD,429,11/26/2020,12,45,58,78
DGRD,430,11/30/2020,30,63,80,95
DGRD,431,12/3/2020,54,56,79,94
DGRD,432,12/7/2020,58,83,92,97
DGRD,433,12/10/2020,9,29,79,89
DGRD,434,12/14/2020,42,59,73,99
DGRD,435,12/17/2020,6,19,36,55
DGRD,436,12/21/2020,3,24,28,67
DGRD,437,12/24/2020,2,6,30,51
DGRD,438,12/28/2020,33,60,71,81
DGRD,439,12/31/2020,7,15,49,70
DGRD,440,1/4/2021,58,64,90,94
DGRD,441,1/7/2021,34,55,62,86
DGRD,442,1/11/2021,23,31,62,97
DGRD,443,1/14/2021,5,11,48,94
DGRD,444,1/18/2021,29,40,57,69
DGRD,445,1/21/2021,24,51,69,96
DGRD,446,1/25/2021,59,62,80,89
DGRD,447,1/28/2021,18,59,60,64
DGRD,448,2/1/2021,15,29,92,98
DGRD,449,2/4/2021,6,37,84,96
DGRD,450,2/8/2021,1,25,48,81
DGRD,451,2/11/2021,15,34,92,98
DGRD,452,2/15/2021,31,48,52,95
DGRD,453,2/18/2021,19,56,64,71
DGRD,454,2/22/2021,27,42,43,67
DGRD,455,2/25/2021,26,30,33,39
DGRD,456,3/1/2021,14,49,51,56
DGRD,457,3/4/2021,11,64,73,79
DGRD,458,3/8/2021,43,48,81,89
DGRD,459,3/11/2021,17,31,68,90
DGRD,460,3/15/2021,43,73,74,90
DGRD,461,3/18/2021,19,31,80,84
DGRD,462,3/22/2021,44,79,96,98
DGRD,463,3/25/2021,26,38,58,91
DGRD,464,3/29/2021,10,32,39,99
DGRD,465,4/1/2021,15,38,51,80
DGRD,466,4/5/2021,22,45,59,74
DGRD,467,4/8/2021,28,30,32,43
DGRD,468,4/12/2021,17,61,63,91
DGRD,469,4/15/2021,4,14,36,74
DGRD,470,4/19/2021,4,7,21,90
DGRD,471,4/22/2021,60,68,70,83
DGRD,472,4/26/2021,9,34,54,69
DGRD,473,4/29/2021,28,42,45,96
DGRD,474,5/3/2021,33,45,54,59
DGRD,475,5/6/2021,1,33,36,56
DGRD,476,5/10/2021,6,10,45,64
DGRD,477,5/13/2021,3,13,21,60
DGRD,478,5/17/2021,15,29,77,83
DGRD,479,5/20/2021,34,36,56,78
DGRD,480,5/24/2021,26,63,64,72
DGRD,481,5/27/2021,24,29,55,95
DGRD,482,5/31/2021,11,13,30,90
DGRD,483,6/3/2021,2,43,51,67
DGRD,484,6/7/2021,51,63,64,69
DGRD,485,6/10/2021,23,29,63,99
DGRD,486,6/14/2021,11,27,28,46
DGRD,487,6/17/2021,42,71,79,86
DGRD,488,6/21/2021,12,21,65,71
DGRD,489,6/24/2021,5,22,25,90
DGRD,490,6/28/2021,26,41,58,73
DGRD,491,7/1/2021,3,5,9,43
DGRD,492,7/5/2021,17,40,41,58
DGRD,493,7/8/2021,15,57,89,94
DGRD,494,7/12/2021,23,32,44,61
DGRD,495,7/15/2021,8,52,65,84
DGRD,496,7/19/2021,11,13,34,65
DGRD,497,7/22/2021,3,49,90,91
DGRD,498,7/26/2021,13,18,44,69
DGRD,499,7/29/2021,10,25,56,68
DGRD,500,8/2/2021,12,27,35,84
DGRD,501,8/5/2021,14,25,50,84
DGRD,502,8/9/2021,14,31,46,48
DGRD,503,8/12/2021,4,7,18,28
DGRD,504,8/16/2021,21,53,76,83
DGRD,505,8/19/2021,1,24,30,70
DGRD,506,8/23/2021,41,45,56,85
DGRD,507,8/26/2021,81,86,93,96
DGRD,508,8/30/2021,28,49,60,76
DGRD,509,9/2/2021,17,20,30,85
DGRD,510,9/6/2021,5,34,50,82
DGRD,511,9/9/2021,14,17,48,71
DGRD,512,9/13/2021,51,61,89,99
DGRD,513,9/16/2021,14,38,56,59
DGRD,514,9/20/2021,2,20,59,96
DGRD,515,9/23/2021,11,57,94,98
DGRD,516,9/27/2021,9,42,63,85
DGRD,517,9/30/2021,26,43,73,74
DGRD,518,10/4/2021,6,14,17,68
DGRD,519,10/7/2021,36,58,76,84
DGRD,520,10/11/2021,9,52,93,94
DGRD,521,10/14/2021,6,41,58,62
DGRD,522,10/18/2021,7,11,62,89
DGRD,523,10/21/2021,35,38,46,63
DGRD,524,10/25/2021,42,50,86,89
DGRD,525,10/28/2021,13,29,52,83
DGRD,526,11/1/2021,4,22,85,87
DGRD,527,11/4/2021,27,64,85,99
DGRD,528,11/8/2021,26,60,78,80
DGRD,529,11/11/2021,21,44,70,99
DGRD,530,11/15/2021,61,64,89,98
DGRD,531,11/18/2021,56,85,95,99
DGRD,532,11/22/2021,12,17,39,47
DGRD,533,11/25/2021,55,58,67,79
DGRD,534,11/29/2021,9,29,46,96
DGRD,535,12/2/2021,5,30,42,70
DGRD,536,12/6/2021,37,40,87,88
DGRD,537,12/9/2021,62,63,83,89
DGRD,538,12/13/2021,11,51,61,79
DGRD,539,12/16/2021,28,53,58,71
DGRD,540,12/20/2021,12,59,62,80
DGRD,541,12/23/2021,32,40,57,78
DGRD,542,12/27/2021,4,19,67,73
